Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,5.780000,5.810000,5.750000,5.780000,5.302399,3294200
2017-01-04,5.870000,5.900000,5.850000,5.890000,5.403310,4098500
2017-01-05,5.900000,5.920000,5.870000,5.870000,5.384962,2299200
2017-01-06,5.880000,5.900000,5.830000,5.870000,5.384962,3712600
2017-01-09,5.820000,5.910000,5.810000,5.870000,5.384962,4024300
2017-01-10,5.920000,5.940000,5.850000,5.880000,5.394136,4631400
2017-01-11,5.850000,5.900000,5.820000,5.880000,5.394136,5554000
2017-01-12,5.870000,5.900000,5.830000,5.880000,5.394136,3619100
2017-01-13,5.910000,5.940000,5.890000,5.920000,5.430831,2445600
2017-01-17,6.000000,6.010000,5.960000,6.010000,5.513395,4917700
2017-01-18,5.910000,5.950000,5.890000,5.910000,5.421658,3085800
2017-01-19,5.830000,5.860000,5.770000,5.820000,5.339094,2512500
2017-01-20,5.830000,5.880000,5.820000,5.870000,5.384962,3886700
2017-01-23,5.810000,5.830000,5.750000,5.810000,5.329920,3239400
2017-01-24,5.850000,5.940000,5.830000,5.910000,5.421658,3617800
2017-01-25,5.870000,5.900000,5.830000,5.890000,5.403310,3486900
2017-01-26,5.930000,6.090000,5.880000,6.070000,5.568437,11650700
2017-01-27,5.900000,5.950000,5.880000,5.920000,5.430831,8209800
2017-01-30,5.850000,5.850000,5.810000,5.820000,5.339094,5199500
2017-01-31,5.920000,5.930000,5.840000,5.890000,5.403310,4096500
2017-02-01,5.870000,5.880000,5.800000,5.860000,5.375789,3091900
2017-02-02,5.900000,5.920000,5.850000,5.870000,5.384962,4953100
2017-02-03,5.840000,5.850000,5.790000,5.800000,5.320747,2485500
2017-02-06,5.680000,5.700000,5.650000,5.690000,5.219836,3604400
2017-02-07,5.670000,5.680000,5.610000,5.620000,5.155620,2468500
2017-02-08,5.660000,5.710000,5.630000,5.710000,5.238183,3634400
2017-02-09,5.750000,5.790000,5.740000,5.770000,5.293225,1831900
2017-02-10,5.700000,5.720000,5.680000,5.710000,5.238183,1588000
2017-02-13,5.710000,5.740000,5.680000,5.720000,5.247356,1923200
2017-02-14,5.730000,5.780000,5.730000,5.780000,5.302399,2590500
2017-02-15,5.760000,5.910000,5.750000,5.900000,5.412484,9723500
2017-02-16,6.080000,6.150000,6.080000,6.130000,5.623479,6517700
2017-02-17,5.930000,6.000000,5.910000,5.960000,5.467526,3384600
2017-02-21,6.180000,6.250000,6.150000,6.210000,5.696868,5488100
2017-02-22,6.330000,6.420000,6.300000,6.410000,5.880342,11244700
2017-02-23,6.650000,6.650000,6.530000,6.530000,5.990427,5629100
2017-02-24,6.470000,6.490000,6.430000,6.450000,5.917037,14358900
2017-02-27,6.400000,6.460000,6.380000,6.440000,5.907863,3040300
2017-02-28,6.430000,6.520000,6.430000,6.450000,5.917037,4737200
2017-03-01,6.580000,6.600000,6.520000,6.580000,6.036295,3925700
2017-03-02,6.580000,6.590000,6.500000,6.530000,5.990427,3121100
2017-03-03,6.590000,6.610000,6.550000,6.600000,6.054642,3368100
